ab	2
ad	3
ah	1
ai	4
al	4
an	2
an	8
ao	4
ap	1
aq	5
ar	8
as	6
at	4
ax	6
ay	3
ay	8
ba	6
bc	6
bf	1
bg	8
bh	3
bh	7
bi	5
bj	1
bj	7
bk	5
bl	9
bm	4
bn	3
bo	4
bp	8
bq	1
bq	5
bs	4
bt	8
bu	4
bv	3
bv	9
bw	5
bx	3
by	9
bz	2
bz	3
ca	3
cb	6
cd	1
ce	7
ci	7
ck	1
ck	5
cl	2
cn	1
cn	2
co	9
cp	7
cp	8
cq	6
ct	7
cu	6
cu	9
cw	4
cx	1
cx	9
cy	1
cy	3
cz	3
db	2
dg	3
dg	6
dh	3
di	4
dj	3
dk	6
dk	7
dm	2
dn	7
dq	8
dr	7
ds	2
dt	5
dv	2
dv	3
dw	9
dx	2
eb	5
eb	6
ec	2
ed	4
ed	5
ee	8
ef	7
eg	6
ei	1
ej	9
ek	1
ek	8
el	2
ep	7
es	1
es	5
ev	6
ew	7
ex	2
ey	5
ey	8
ez	5
fa	4
fc	2
fd	2
fe	5
fg	7
fh	3
fj	2
fk	3
fn	1
fo	4
fp	4
fq	7
fr	4
fu	6
fv	8
fw	5
fx	2
fy	7
fz	6
gb	5
gc	9
gd	6
ge	8
gf	8
gj	5
gm	9
gn	3
gp	5
gp	7
gq	5
gq	7
gs	1
gt	8
gt	9
gv	8
gw	1
gx	3
gy	1
gy	3
gz	3
ha	4
ha	9
hb	6
hc	4
hd	1
he	4
he	8
hh	7
hl	2
hm	5
hn	3
hp	3
hq	7
hr	4
hs	4
ht	5
hu	7
hv	3
hy	8
hz	1
ia	1
ia	2
ic	3
id	6
if	1
if	5
ih	4
ii	1
ii	2
ij	1
ij	7
ik	3
il	5
il	9
im	3
io	1
ip	6
iq	2
ir	8
is	2
is	4
iu	8
iu	9
iw	1
iw	4
ix	5
iz	3
ja	2
jc	6
jd	5
je	9
jf	1
jg	5
jg	7
jh	1
jh	9
ji	2
ji	6
jj	4
jj	9
jk	5
jk	9
jl	7
jo	3
jp	3
jq	9
jr	3
js	7
jt	4
jt	8
ju	2
jv	4
jx	3
jy	6
jz	8
ka	3
kb	5
kc	5
kd	7
ke	1
ke	9
kf	3
kg	2
kg	8
kh	4
kh	6
kj	7
kl	3
kl	8
kr	8
ks	2
kt	8
ku	3
kv	1
kv	7
kw	2
kw	3
ky	3
kz	5
la	2
lc	7
ld	5
le	7
lf	8
lg	7
lg	8
li	2
lk	4
lk	7
lm	4
lq	1
lq	7
lr	3
lt	4
lu	1
lv	5
lw	3
lw	5
lx	6
ma	6
mb	4
mb	5
me	8
mf	2
mg	4
mh	7
mi	5
mj	6
ml	8
mm	1
mn	5
mo	8
mq	4
mq	8
mv	3
mx	1
mx	9
my	6
na	7
nb	8
nc	1
nc	9
nd	7
ng	7
nh	1
nh	7
ni	4
nk	3
nl	6
nm	1
nm	7
no	3
np	2
nr	2
ns	8
nu	3
nu	4
nw	3
nz	1
ob	9
oc	8
od	3
oe	5
of	7
of	8
og	6
oh	3
oi	7
ok	2
ok	5
om	4
oo	5
op	1
oq	8
or	1
os	9
ot	5
ou	1
ov	1
ov	8
oy	2
oy	9
oz	4
pa	5
pb	6
pb	7
pc	2
pc	8
pd	1
pf	2
pi	1
pj	7
pk	9
pl	2
pm	3
pn	1
po	4
po	7
pp	4
pr	4
pr	6
ps	8
pt	8
pu	4
pw	8
px	1
pz	3
qb	1
qb	5
qc	4
qd	5
qe	5
qe	7
qf	1
qf	4
qg	3
qg	9
qh	1
qi	3
qj	3
qj	9
qk	3
ql	3
qm	1
qn	6
qn	9
qo	2
qp	2
qp	3
qq	9
qu	9
qv	9
qw	7
qx	4
qx	5
qz	4
qz	7
ra	1
ra	4
rb	4
rb	6
rc	9
rd	5
re	2
rf	2
rf	7
rg	3
rh	3
rh	5
ri	8
rl	7
rl	9
ro	4
ro	5
rp	8
rr	7
rs	4
rt	1
rt	7
ru	2
rv	7
rx	6
rx	9
ry	4
ry	9
rz	8
sa	8
sd	7
sf	4
sg	8
sh	5
sj	9
sl	4
sl	9
sm	3
sn	6
sq	9
ss	3
ss	5
st	2
sw	4
sx	2
sy	1
sz	2
ta	3
tb	5
te	3
te	7
tg	5
ti	1
ti	2
tj	5
tk	6
tl	8
tp	2
ts	3
tt	1
tu	4
tw	7
tx	1
tx	8
ty	4
ty	7
tz	9
ud	3
ud	9
ug	6
uh	2
ui	7
uj	5
uj	7
uk	5
uk	6
ul	1
um	8
un	1
uo	6
up	6
up	8
uq	4
ur	8
us	7
ut	1
uu	1
uv	2
ux	1
va	5
vb	2
vc	1
vd	8
ve	2
vf	2
vg	4
vh	7
vi	4
vi	7
vl	4
vm	3
vn	2
vn	8
vo	1
vq	5
vr	9
vt	5
vv	1
vv	8
vw	5
vx	9
vy	3
vy	4
wb	2
wd	4
wf	7
wf	9
wi	6
wl	3
wm	1
wn	5
wr	7
wr	9
ws	8
wu	9
wv	5
wv	6
ww	3
wx	3
wz	8
xa	4
xd	4
xd	7
xe	6
xg	4
xi	4
xj	3
xj	8
xk	2
xl	3
xl	6
xm	2
xo	7
xq	3
xq	8
xs	3
xs	6
xv	3
xw	6
xw	9
xx	1
xx	5
xy	4
xz	4
xz	9
ya	3
yb	4
yd	5
ye	1
yg	2
yg	7
yj	4
yj	8
yk	6
yk	7
yo	7
ys	5
yt	4
yu	5
yv	4
yv	5
yw	3
yx	6
yy	5
za	8
zb	3
zc	5
zd	8
ze	1
zh	5
zi	6
zi	9
zl	4
zl	5
zp	3
zq	9
zr	4
zs	7
zu	7
zv	3
zv	5
zw	5
zw	7
zx	9
zy	2
zz	9
