ab	2
ad	3
ah	1
an	2
ap	1
aq	5
ar	8
as	6
at	4
ax	6
ay	8
bc	6
bf	1
bh	7
bj	1
bn	3
bq	1
bu	4
bv	9
bz	3
cb	6
cd	1
ck	1
cl	2
cn	1
cp	7
cu	9
cw	4
cx	1
cy	1
dg	6
dk	6
dn	7
dq	8
ds	2
dt	5
dv	2
dx	2
eb	5
ed	5
ee	8
eg	6
ek	1
el	2
es	5
ew	7
ey	5
ez	5
fg	7
fj	2
fk	3
fn	1
fo	4
fu	6
fw	5
fx	2
fy	7
fz	6
gc	9
gd	6
ge	8
gf	8
gj	5
gp	5
gq	5
gt	9
gy	1
ha	9
hc	4
hd	1
he	8
hh	7
hl	2
hm	5
hn	3
hp	3
hr	4
ht	5
hz	1
ia	1
if	5
ii	1
ij	1
ik	3
il	5
im	3
ir	8
is	4
iu	9
iw	4
iz	3
ja	2
jc	6
je	9
jg	7
jh	9
ji	2
jj	4
jk	5
jl	7
jt	4
jv	4
jz	8
kb	5
kc	5
kd	7
ke	1
kf	3
kg	8
kh	4
kj	7
kl	3
ku	3
kv	1
kw	3
ky	3
kz	5
la	2
le	7
lf	8
lg	7
li	2
lk	7
lq	7
lr	3
lt	4
lv	5
lw	5
mb	4
me	8
mg	4
mh	7
mi	5
mj	6
mm	1
mn	5
mo	8
mq	8
mx	9
my	6
nc	9
nh	7
nl	6
nm	1
nr	2
nu	3
ob	9
oc	8
od	3
of	8
oh	3
oi	7
ok	2
om	4
op	1
or	1
ov	8
oy	9
pa	5
pb	6
pc	8
pd	1
pj	7
pk	9
pl	2
pn	1
po	7
pr	6
ps	8
pt	8
pz	3
qb	1
qe	7
qf	1
qg	9
qi	3
qj	3
qk	3
qm	1
qn	6
qo	2
qp	2
qq	9
qx	5
qz	4
ra	4
rb	4
rc	9
rd	5
re	2
rf	7
rg	3
rh	3
rl	9
ro	5
rp	8
rs	4
rt	7
ru	2
rx	6
ry	4
sl	9
sn	6
ss	5
st	2
sw	4
sy	1
tb	5
te	3
tg	5
ti	1
tk	6
tp	2
tt	1
tu	4
tw	7
tx	1
ty	4
tz	9
ud	3
ug	6
ui	7
uj	7
uk	5
um	8
un	1
up	6
uq	4
ut	1
va	5
vd	8
ve	2
vi	4
vl	4
vn	8
vo	1
vq	5
vt	5
vv	8
vw	5
vx	9
vy	3
wb	2
wd	4
wf	9
wl	3
wr	7
wu	9
wv	5
xa	4
xd	7
xe	6
xj	8
xk	2
xl	3
xo	7
xq	8
xs	3
xv	3
xw	6
xx	1
xy	4
xz	9
yg	2
yj	8
yk	7
yv	5
yx	6
yy	5
za	8
zh	5
zi	9
zl	4
zp	3
zq	9
zr	4
zv	3
zw	7
zz	9
